                    	Weight (lbf)	CG [x,y,z] (in)	MOI [Ixx, Iyy, Izz] (slug ft^2)	
ACMainWing          	2.93	   14.1,     0.0,    15.1	  0.236,   0.010,   0.227	
   Aileron          	0.00	   23.4,     0.0,    14.8	  0.000,   0.000,   0.000	
      Servo         	0.01	   15.2,     0.0,    14.7	  0.000,   0.000,   0.000	
Horizontal Tail     	0.40	   46.8,     0.0,    14.5	  0.004,   0.094,   0.097	
   Elevator         	0.00	   52.2,     0.0,    13.8	  0.000,   0.000,   0.000	
      Servo         	0.00	   47.0,     1.8,    14.5	  0.000,   0.000,   0.000	
Vertical Tail       	0.10	   45.8,     4.9,    10.7	  0.001,   0.023,   0.023	
   Rudder           	0.00	   51.5,     0.0,    14.9	  0.000,   0.000,   0.000	
      Servo         	0.00	   46.8,     0.0,    11.5	  0.000,   0.000,   0.000	
Fuselage            	1.09	   13.7,     0.1,     6.6	  0.007,   0.017,   0.010	
   BulkHead         	0.01	    6.5,     0.0,     9.3	  0.000,   0.000,   0.000	
   Nose             	0.37	    8.1,     0.2,     9.0	  0.001,   0.004,   0.003	
      Battery       	0.11	    7.7,     1.6,     9.7	  0.000,   0.001,   0.001	
      FuelTank      	0.10	   11.3,     0.0,    12.2	  0.000,   0.000,   0.000	
      NoseWheelServo	0.04	   10.1,    -1.4,     8.3	  0.000,   0.000,   0.000	
      Receiver      	0.02	   10.2,    -2.1,    10.3	  0.000,   0.000,   0.000	
   BulkHead         	0.03	   12.5,     0.0,    11.0	  0.000,   0.000,   0.000	
   PyldBay          	0.27	    9.0,     0.0,     5.5	  0.002,   0.003,   0.001	
   BulkHead         	0.03	   23.5,     0.0,    11.0	  0.000,   0.001,   0.001	
   TailTaper        	0.39	   21.8,     0.0,     4.6	  0.004,   0.009,   0.005	
   BulkHead         	0.00	   45.8,     0.0,     9.0	  0.000,   0.000,   0.000	
Propulsion          	1.80	    4.0,     0.0,     9.3	  0.004,   0.041,   0.039	
   Propeller        	0.30	    1.3,     0.0,     9.3	  0.002,   0.011,   0.011	
   Engine           	1.50	    4.5,     0.0,     9.3	  0.002,   0.030,   0.028	
Main Gear           	0.28	   18.2,     0.0,     2.3	  0.007,   0.006,   0.003	
   Strut            	0.04	   18.2,     0.0,     4.7	  0.001,   0.001,   0.001	
   Wheel            	0.10	   18.2,     0.0,     1.3	  0.004,   0.003,   0.002	
Nose Gear           	0.13	    6.5,     0.1,     2.0	  0.002,   0.004,   0.001	
   Strut            	0.03	    6.5,     0.0,     4.6	  0.000,   0.001,   0.000	
   Wheel            	0.10	    6.5,     0.2,     1.3	  0.002,   0.003,   0.001	
Totals:             	6.72	   13.7,     0.1,    11.3	  0.261,   0.195,   0.402	
